Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	Atten_red2 [/m]	QV:SEADATANET	chl-a_water_ISfluor [mg/m^3]	QV:SEADATANET	WC_dissO2 [umol/l]	QV:SEADATANET	AqVolt [V]	QV:SEADATANET	STNephV [V]	QV:SEADATANET	BKBeck [%]	QV:SEADATANET	PotAtten [/m]	QV:SEADATANET	WC_Potemp [degC]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	SigTheta [kg/m^3]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									  103.00	1	  0.389	1	  0.402	1	  0.46	1	249.4	1	 1.1795	1	  0.0502	1	 96.72	1	 0.3891	1	14.001	1	35.866	1	26.857	1	14.015	1
									  105.00	1	  0.389	1	  0.402	1	  0.38	1	249.8	1	 1.0704	1	  0.0494	1	 96.85	1	 0.3887	1	13.994	1	35.866	1	26.858	1	14.010	1
									  107.00	1	  0.387	1	  0.400	1	  0.32	1	250.0	1	 0.9627	1	  0.0494	1	 96.83	1	 0.3870	1	13.948	1	35.856	1	26.861	1	13.964	1
									  109.00	1	  0.384	1	  0.397	1	  0.17	1	250.6	1	 0.5964	1	  0.0464	1	 96.88	1	 0.3837	1	13.866	1	35.847	1	26.871	1	13.882	1
									  111.00	1	  0.383	1	  0.395	1	  0.26	1	249.8	1	 0.8540	1	  0.0459	1	 96.55	1	 0.3824	1	13.848	1	35.846	1	26.874	1	13.864	1
									  113.00	1	  0.381	1	  0.394	1	  0.34	1	249.6	1	 1.0092	1	  0.0454	1	 96.44	1	 0.3811	1	13.827	1	35.842	1	26.876	1	13.843	1
									  115.00	1	  0.379	1	  0.391	1	  0.29	1	250.3	1	 0.9019	1	  0.0440	1	 96.58	1	 0.3785	1	13.773	1	35.837	1	26.883	1	13.790	1
									  117.00	1	  0.376	1	  0.389	1	  0.31	1	250.4	1	 0.9588	1	  0.0423	1	 96.56	1	 0.3762	1	13.745	1	35.838	1	26.890	1	13.762	1
									  119.00	1	  0.374	1	  0.387	1	  0.20	1	249.6	1	 0.6550	1	  0.0400	1	 96.23	1	 0.3743	1	13.721	1	35.837	1	26.894	1	13.738	1
									  121.00	1	  0.374	1	  0.386	1	  0.26	1	249.4	1	 0.8429	1	  0.0418	1	 96.11	1	 0.3736	1	13.715	1	35.838	1	26.896	1	13.732	1
									  123.00	1	  0.373	1	  0.386	1	  0.27	1	249.4	1	 0.8730	1	  0.0410	1	 96.11	1	 0.3732	1	13.714	1	35.840	1	26.898	1	13.732	1
									  125.00	1	  0.372	1	  0.385	1	  0.23	1	249.4	1	 0.7818	1	  0.0386	1	 96.07	1	 0.3718	1	13.693	1	35.835	1	26.898	1	13.711	1
									  127.00	1	  0.372	1	  0.384	1	  0.32	1	249.4	1	 0.9531	1	  0.0403	1	 96.06	1	 0.3715	1	13.671	1	35.835	1	26.902	1	13.689	1
									  129.00	1	  0.371	1	  0.383	1	  0.27	1	249.0	1	 0.8684	1	  0.0380	1	 95.82	1	 0.3705	1	13.640	1	35.830	1	26.905	1	13.659	1
									  131.00	1	  0.367	1	  0.380	1	  0.12	1	249.8	1	 0.3783	1	  0.0356	1	 96.02	1	 0.3672	1	13.590	1	35.827	1	26.914	1	13.609	1
									  133.00	1	  0.365	1	  0.378	1	  0.26	1	249.0	1	 0.8441	1	  0.0357	1	 95.66	1	 0.3652	1	13.556	1	35.824	1	26.918	1	13.575	1
									  135.00	1	  0.364	1	  0.376	1	  0.21	1	248.5	1	 0.7301	1	  0.0334	1	 95.42	1	 0.3639	1	13.525	1	35.821	1	26.922	1	13.545	1
									  137.00	1	  0.362	1	  0.375	1	  0.27	1	249.4	1	 0.8680	1	  0.0317	1	 95.65	1	 0.3619	1	13.482	1	35.817	1	26.928	1	13.501	1
									  139.00	1	  0.361	1	  0.375	1	  0.26	1	249.3	1	 0.8366	1	  0.0323	1	 95.61	1	 0.3611	1	13.467	1	35.816	1	26.930	1	13.487	1
									  141.00	1	  0.362	1	  0.374	1	  0.33	1	248.5	1	 0.9857	1	  0.0328	1	 95.29	1	 0.3617	1	13.459	1	35.813	1	26.929	1	13.479	1
