Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	LOCAL_CDI_ID	EDMO_code	Bot. Depth [m]	Pres_Z [dbar]	QV:SEADATANET	Record_No [Dmnless]	QV:SEADATANET	Atten_red [/m]	QV:SEADATANET	CTDCond [S/m]	QV:SEADATANET	chl-a_water_ISfluor_manufctrcal_sensor1 [mg/m^3]	QV:SEADATANET	chl-a_water_ISfluor_sampcal [mg/m^3]	QV:SEADATANET	WC_dissO2_uncalib [umol/l]	QV:SEADATANET	P_sal_CTD [Dmnless]	QV:SEADATANET	WC_temp_CTD [degC]	QV:SEADATANET
									   81.00	1	       80	1	 55.262	3	 3.695	1	  0.25	1	  1.27	1	284.6	1	35.305	1	 8.440	1
									   82.00	1	       81	1	 55.262	3	 3.695	1	  0.21	1	  0.88	1	284.5	1	35.305	1	 8.440	1
									   83.00	1	       82	1	 55.262	3	 3.695	1	  0.21	1	  0.92	1	284.5	1	35.305	1	 8.440	1
									   84.00	1	       83	1	 55.262	3	 3.695	1	  0.23	1	  1.04	1	284.6	1	35.305	1	 8.440	1
									   85.00	1	       84	1	 55.262	3	 3.695	1	  0.23	1	  1.04	1	284.7	1	35.305	1	 8.440	1
									   86.00	1	       85	1	 55.262	3	 3.695	1	  0.22	1	  0.94	1	284.6	1	35.304	1	 8.440	1
									   87.00	1	       86	1	 55.262	3	 3.695	1	  0.21	1	  0.86	1	284.5	1	35.305	1	 8.439	1
									   88.00	1	       87	1	 55.262	3	 3.695	1	  0.21	1	  0.92	1	284.5	1	35.306	1	 8.438	1
									   89.00	1	       88	1	 55.262	3	 3.695	1	  0.21	1	  0.85	1	284.5	1	35.306	1	 8.437	1
									   90.00	1	       89	1	 55.262	3	 3.695	1	  0.21	1	  0.89	1	284.4	1	35.306	1	 8.437	1
									   91.00	1	       90	1	 55.262	3	 3.695	1	  0.23	1	  1.11	1	284.4	1	35.305	1	 8.437	1
									   92.00	1	       91	1	 55.262	3	 3.695	1	  0.26	1	  1.34	1	284.3	1	35.306	1	 8.436	1
									   93.00	1	       92	1	 55.262	3	 3.695	1	  0.24	1	  1.23	1	284.2	1	35.306	1	 8.435	1
									   94.00	1	       93	1	 55.262	3	 3.695	1	  0.25	1	  1.28	1	284.3	1	35.305	1	 8.435	1
									   95.00	1	       94	1	 55.262	3	 3.695	1	  0.23	1	  1.11	1	284.2	1	35.305	1	 8.434	1
									   96.00	1	       95	1	 55.262	3	 3.695	1	  0.23	1	  1.05	1	284.2	1	35.305	1	 8.433	1
									   97.00	1	       96	1	 55.262	3	 3.695	1	  0.25	1	  1.26	1	284.1	1	35.305	1	 8.432	1
									   98.00	1	       97	1	 55.262	3	 3.695	1	  0.24	1	  1.17	1	284.1	1	35.306	1	 8.431	1
									   99.00	1	       98	1	 55.262	3	 3.695	1	  0.25	1	  1.31	1	284.1	1	35.305	1	 8.431	1
									  100.00	1	       99	1	 55.262	3	 3.695	1	  0.23	1	  1.10	1	283.9	1	35.306	1	 8.430	1
									  101.00	1	      100	1	 55.262	3	 3.695	1	  0.23	1	  1.13	1	283.7	1	35.305	1	 8.430	1
									  102.00	1	      101	1	 55.262	3	 3.695	1	  0.23	1	  1.04	1	283.5	1	35.306	1	 8.430	1
									  103.00	1	      102	1	 55.262	3	 3.695	1	  0.25	1	  1.27	1	283.3	1	35.307	1	 8.431	1
									  104.00	1	      103	1	 55.262	3	 3.695	1	  0.25	1	  1.31	1	283.2	1	35.308	1	 8.435	1
									  105.00	1	      104	1	 55.262	3	 3.696	1	  0.24	1	  1.18	1	282.9	1	35.309	1	 8.440	1
									  106.00	1	      105	1	 55.262	3	 3.697	1	  0.25	1	  1.25	1	282.5	1	35.311	1	 8.444	1
									  107.00	1	      106	1	 55.262	3	 3.697	1	  0.27	1	  1.51	1	282.0	1	35.312	1	 8.446	1
									  108.00	1	      107	1	 55.262	3	 3.697	1	  0.26	1	  1.42	1	281.6	1	35.312	1	 8.443	1
									  109.00	1	      108	1	 55.262	3	 3.696	1	  0.40	1	  2.84	1	282.7	1	35.311	1	 8.439	1
